,Unnamed: 0,first_name,last_name,full_name,type,state,district,party,facebook,page_name,identifier,page_id,already_fetched,cleaning_update
47,47,Shelley,Capito,Shelley Moore Capito,sen,WV,,Republican,senshelley,Senator Shelley Moore Capito,100044442309350,492934580740220,done,
48,48,André,Carson,André Carson,rep,IN,7.0,Democrat,CongressmanAndreCarson,Congressman André Carson,100045029617095,123884330964019,done,
49,49,John,Carter,John R. Carter,rep,TX,31.0,Republican,judgecarter,U.S. Representative John Carter,100044035693797,no match,missing,
50,50,Bill,Cassidy,Bill Cassidy,sen,LA,,Republican,,,0,80987211775,done,
51,51,Kathy,Castor,Kathy Castor,rep,FL,14.0,Democrat,USRepKathyCastor,,0,no match,missing,
52,52,Steve,Chabot,Steve Chabot,rep,OH,1.0,Republican,RepSteveChabot,,0,105908984600679,done,
53,53,Judy,Chu,Judy Chu,rep,CA,27.0,Democrat,RepJudyChu,,0,41228315130,done,
54,54,David,Cicilline,David N. Cicilline,rep,RI,1.0,Democrat,CongressmanDavidCicilline,Congressman David Cicilline,100044261597843,9514417573,done,
55,55,Yvette,Clarke,Yvette D. Clarke,rep,NY,9.0,Democrat,repyvettedclarke,,0,208375572621634,done,
56,56,Emanuel,Cleaver,Emanuel Cleaver,rep,MO,5.0,Democrat,emanuelcleaverii,,0,7954512692,done,
57,57,James,Clyburn,James E. Clyburn,rep,SC,6.0,Democrat,jameseclyburn,,0,127744320598870,done,
58,58,Steve,Cohen,Steve Cohen,rep,TN,9.0,Democrat,CongressmanSteveCohen,,0,6358769182,done,
59,59,Tom,Cole,Tom Cole,rep,OK,4.0,Republican,TomColeOK04,,0,239866352781313,done,
60,60,Gerald,Connolly,Gerald E. Connolly,rep,VA,11.0,Democrat,CongressmanGerryConnolly,Congressman Gerry Connolly,100045108333439,no match,missing,
61,61,Jim,Cooper,Jim Cooper,rep,TN,5.0,Democrat,JimCooper,,0,318714801543186,done,
62,62,Jim,Costa,Jim Costa,rep,CA,16.0,Democrat,RepJimCosta,Congressman Jim Costa,100057718496123,704516012940877,done,
63,63,Joe,Courtney,Joe Courtney,rep,CT,2.0,Democrat,joecourtney,Joe Courtney,100045079025366,6596078916,done,
64,64,Michael,Crapo,Mike Crapo,sen,ID,,Republican,mikecrapo,,0,286049384763373,missing,
65,65,Eric,Crawford,"Eric A. ""Rick"" Crawford",rep,AR,1.0,Republican,RepRickCrawford,,0,no match,missing,
66,66,Henry,Cuellar,Henry Cuellar,rep,TX,28.0,Democrat,152569121550,,0,248922701788783,done,
67,67,Danny,Davis,Danny K. Davis,rep,IL,7.0,Democrat,CongressmanDKDavis,,0,109673587226930,done,
68,68,Peter,DeFazio,Peter A. DeFazio,rep,OR,4.0,Democrat,RepPeterDeFazio,Peter DeFazio,100044856351141,no match,missing,
69,69,Diana,DeGette,Diana DeGette,rep,CO,1.0,Democrat,DianaDeGette,,0,9068720389,done,
70,70,Rosa,DeLauro,Rosa L. DeLauro,rep,CT,3.0,Democrat,CongresswomanRosaDeLauro,Rosa DeLauro,100044446690856,no match,missing,
71,71,Scott,DesJarlais,Scott DesJarlais,rep,TN,4.0,Republican,ScottDesJarlaisTN04,,0,no match,missing,
72,72,Theodore,Deutch,Theodore E. Deutch,rep,FL,22.0,Democrat,CongressmanTedDeutch,Congressman Ted Deutch,100044155463550,no match,missing,
73,73,Mario,Diaz-Balart,Mario Diaz-Balart,rep,FL,25.0,Republican,mdiazbalart,,0,9312415125,done,
74,74,Lloyd,Doggett,Lloyd Doggett,rep,TX,35.0,Democrat,lloyddoggett,,0,6433783047,done,
75,75,Michael,Doyle,Michael F. Doyle,rep,PA,18.0,Democrat,usrepmikedoyle,,0,no match,missing,
76,76,Jeff,Duncan,Jeff Duncan,rep,SC,3.0,Republican,RepJeffDuncan,,0,612876695419919,done,
