,Unnamed: 0,first_name,last_name,full_name,type,state,district,party,facebook,page_name,identifier,page_id,already_fetched
128,335,Neal,Dunn,Neal P. Dunn,rep,FL,2.0,Republican,drnealdunnfl2,,0,230276277419636,missing
129,336,John,Rutherford,John H. Rutherford,rep,FL,4.0,Republican,RepRutherfordFL,Congressman John Rutherford,100044334071227,no ad account,missing
130,337,Al,Lawson,"Al Lawson, Jr.",rep,FL,5.0,Democrat,RepAlLawsonJr,Rep Al Lawson Jr.,100058062459613,104784143701,missing
131,338,Stephanie,Murphy,Stephanie N. Murphy,rep,FL,7.0,Democrat,RepStephMurphy,U.S. Congresswoman Stephanie Murphy,100044901450384,1752716341611327,missing
132,340,Val,Demings,Val Butler Demings,rep,FL,10.0,Democrat,RepresentativeValDemings,,0,134498556891640,missing
133,342,Brian,Mast,Brian J. Mast,rep,FL,18.0,Republican,repbrianmast,Congressman Brian Mast,100044157383419,471928596287830,missing
134,343,A.,Ferguson,A. Drew Ferguson IV,rep,GA,3.0,Republican,RepDrewFerguson,Congressman Drew Ferguson,100044629290307,389345604744691,missing
135,344,Raja,Krishnamoorthi,Raja Krishnamoorthi,rep,IL,8.0,Democrat,congressmanraja,,0,1844412109137727,missing
136,357,Thomas,Suozzi,Thomas R. Suozzi,rep,NY,3.0,Democrat,RepTomSuozzi,,0,432386793516356,missing
137,359,Brian,Fitzpatrick,Brian K. Fitzpatrick,rep,PA,1.0,Republican,repbrianfitzpatrick,,0,451835328274640,missing
138,361,Jenniffer,González-Colón,Jenniffer González-Colón,rep,PR,0.0,Republican,RepJennifferGonzalezColon,,0,no ad account,missing
139,364,Jodey,Arrington,Jodey C. Arrington,rep,TX,19.0,Republican,JodeyArrington,,0,257388981136219,missing
140,372,John,Curtis,John R. Curtis,rep,UT,3.0,Republican,RepJohnCurtis,,0,836444843136055,missing
141,380,Joseph,Morelle,Joseph D. Morelle,rep,NY,25.0,Democrat,,,0,2452029394813890,missing
142,394,W.,Steube,W. Gregory Steube,rep,FL,17.0,Republican,,,0,271736323517059,missing
143,396,Michael,San Nicolas,Michael F. Q. San Nicolas,rep,GU,0.0,Democrat,CongressmanMichaelF.Q.SanNicolas,Congressman Michael F.Q. San Nicolas - Guam,100057709434580,629062130882339,missing
144,397,Cynthia,Axne,Cynthia Axne,rep,IA,3.0,Democrat,,,0,306591716448427,missing
145,399,Jesús,García,"Jesús G. ""Chuy"" García",rep,IL,4.0,Democrat,,,0,1491458271125644,missing
146,402,James,Baird,James R. Baird,rep,IN,4.0,Republican,,,0,307049119928367,missing
147,407,David,Trone,David J. Trone,rep,MD,6.0,Democrat,,,0,178602115837123,missing
148,410,Haley,Stevens,Haley M. Stevens,rep,MI,11.0,Democrat,,,0,648335462024721,missing
149,420,Jefferson,Van Drew,Jefferson Van Drew,rep,NJ,2.0,Republican,,,0,143729616392084,missing
150,428,Madeleine,Dean,Madeleine Dean,rep,PA,4.0,Democrat,,,0,143909879708775,missing
